41.66.0.0,41.66.63.255,16384,29/12/17,
41.189.32.0,41.189.63.255,8192,29/12/17,
41.202.64.0,41.202.95.255,8192,29/12/17,
41.202.96.0,41.202.127.255,8192,20/05/10,
41.206.64.0,41.206.95.255,8192,08/03/07,
41.207.0.0,41.207.31.255,8192,29/12/17,
41.207.192.0,41.207.223.255,8192,29/12/17,
102.67.192.0,102.67.255.255,16384,22/02/19,
102.136.0.0,102.139.255.255,262144,28/03/18,
102.181.224.0,102.181.255.255,8192,26/07/17,
105.235.0.0,105.235.127.255,32768,11/09/12,
154.68.0.0,154.68.63.255,16384,29/12/17,
154.232.0.0,154.235.255.255,262144,31/10/16,
160.120.0.0,160.120.255.255,65536,29/12/17,
160.154.0.0,160.155.255.255,131072,29/12/17,
196.47.128.0,196.47.191.255,16384,20/03/06,
196.180.0.0,196.183.255.255,262144,10/11/15,
196.201.64.0,196.201.95.255,8192,29/12/17,
197.159.192.0,197.159.223.255,8192,22/08/11,
213.136.96.0,213.136.127.255,8192,29/12/17,

