41.74.0.0,41.74.15.255,4096,26/10/09,
41.85.160.0,41.85.191.255,8192,07/01/11,
41.86.224.0,41.86.255.255,8192,09/07/10,
41.216.32.0,41.216.63.255,8192,11/03/10,
45.221.224.0,45.221.255.255,8192,27/10/16,
81.91.224.0,81.91.239.255,4096,11/03/10,
102.38.128.0,102.38.159.255,8192,24/07/19,
137.255.0.0,137.255.255.255,65536,22/04/16,
154.66.128.0,154.66.143.255,4096,25/10/13,
154.72.112.0,154.72.127.255,4096,02/06/16,
154.127.32.0,154.127.47.255,4096,06/06/14,
160.0.224.0,160.0.255.255,8192,10/03/17,
196.192.16.0,196.192.31.255,4096,20/03/14,
196.250.64.0,196.250.127.255,16384,17/03/17,

