41.72.224.0,41.72.255.255,8192,11/12/09,
41.158.0.0,41.159.255.255,131072,24/06/08,
41.211.128.0,41.211.191.255,16384,02/12/06,
102.142.0.0,102.142.255.255,65536,26/03/18,
154.0.32.0,154.0.63.255,8192,16/07/13,
154.0.176.0,154.0.191.255,4096,30/08/13,
154.112.0.0,154.112.255.255,65536,06/06/14,
154.116.0.0,154.116.127.255,32768,06/06/14,
154.119.192.0,154.119.223.255,8192,06/06/14,
160.119.160.0,160.119.191.255,8192,13/03/17,
169.159.0.0,169.159.63.255,16384,12/11/14,
196.50.32.0,196.50.63.255,8192,20/01/17,
197.231.64.0,197.231.127.255,16384,25/03/13,
197.242.0.0,197.242.31.255,8192,18/05/12,
217.77.64.0,217.77.79.255,4096,01/12/00,

